company_id,vendor_id,category_id,tax_id,name,slug,sku,barcode,short_description,description,cost_price,price,compare_price,has_variants,track_stock,weight,is_active,is_featured,meta_title,meta_desc,tax_rate
1,,,1,ACRILICO PARA INYECCION API x 1Kg OSCURO,acrilico-para-inyeccion-api-x-1kg-oscuro,17,,,,155800.0,233700,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA INYECCION API x 1Kg ROSADO,acrilico-para-inyeccion-api-x-1kg-rosado,18,,,,155800.0,233700,,0,1,,1,0,,,21.0
1,,,1,ACRILICO PARA INYECCION API x 1/2Kg CRISTAL,acrilico-para-inyeccion-api-x-12kg-cristal,19,,,,96030.0,144000,,0,1,,1,0,,,21.0
1,,,1,ACRILICO TERMOCURABLE EGEO ROSA x 1Kg,acrilico-termocurable-egeo-rosa-x-1kg,20,,,,36000.0,54000,,0,1,,1,0,,,21.0
1,,,1,ACRILICO POLIMERO TERMOCURABLE PROTHOPLAST x 1Kg,acrilico-polimero-termocurable-prothoplast-x-1kg,21,,,,36608.51,54900,,0,1,,1,0,,,21.0
1,,,1,"ALAMBRE 0,9mm MORELLI x 50Gs",alambre-09mm-morelli-x-50gs,22,,,,13000.0,19500,,0,1,,1,0,,,21.0
1,,,1,ALAMBRE PARA APOYOS ACLUSALES O RETENEDORES MEDIA CAÑA 10CM X 5Unid,alambre-para-apoyos-aclusales-o-retenedores-media-cana-10cm-x-5unid,23,,,,13000.0,19500,,0,1,,1,0,,,21.0
1,,,1,ALGINATO HIGH PRECISION ALGINMAX MAJOR x 453Gs VAINILLA,alginato-high-precision-alginmax-major-x-453gs-vainilla,24,,,,10000.0,15000,,0,1,,1,0,,,21.0
1,,,1,ALGINATO EXTRA HIGH PRECISION ALGINPLUS MAJOR x 453Gs FRUTOS TROPICALES,alginato-extra-high-precision-alginplus-major-x-453gs-frutos-tropicales,25,,,,9900.0,14800,,0,1,,1,0,,,21.0
1,,,1,BARBIJO DESCARTABLE VERDE Caja x 50Un,barbijo-descartable-verde-caja-x-50un,26,,,,5200.0,8300,,0,1,,1,0,,,21.0
1,,,1,BARBIJO DESCARTABLE NEGRO Caja x 50Un,barbijo-descartable-negro-caja-x-50un,27,,,,5200.0,8300,,0,1,,1,0,,,21.0
1,,,1,BARBIJO DESCARTABLE  BLANCO Caja x 50Un,barbijo-descartable-blanco-caja-x-50un,28,,,,5200.0,8300,,0,1,,1,0,,,21.0
1,,,1,BARBIJO DESCARTABLE CELESTE Caja x 50Un,barbijo-descartable-celeste-caja-x-50un,29,,,,5200.0,8300,,0,1,,1,0,,,21.0
1,,,1,BARBIJO DESCARTABLE ROSADO Caja x 50Un,barbijo-descartable-rosado-caja-x-50un,30,,,,5200.0,8300,,0,1,,1,0,,,21.0
1,,,1,BASE PORTA PINCEL INDENTAL ,base-porta-pincel-indental,32,,,,44000.0,70400,,0,1,,1,0,,,21.0
1,,,1,BISTURI HOJAS DESCARTABLES x Unidad,bisturi-hojas-descartables-x-unidad,33,,,,156.94559999999998,250,,0,1,,1,0,,,21.0
1,,,1,BISTURI HOJAS DESCARTABLES Caja x 50Un,bisturi-hojas-descartables-caja-x-50un,34,,,,13078.8,18300,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX CLASSIC 22mm x 120mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-classic-22mm-x-120mm-rosa-medio,382,,,,6600.0,9900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX CLASSIC 22mm x 85mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-classic-22mm-x-85mm-rosa-medio,383,,,,5950.0,8900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX CLASSIC 22mm x 55mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-classic-22mm-x-55mm-rosa-medio,384,,,,5000.0,7500,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX CLASSIC 25mm x 90mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-classic-25mm-x-90mm-rosa-medio,385,,,,6600.0,9900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX CLASSIC 25mm x 70mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-classic-25mm-x-70mm-rosa-medio,386,,,,5950.0,8900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX CLASSIC 25mm x 50mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-classic-25mm-x-50mm-rosa-medio,387,,,,5000.0,7500,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX FLUENCE 22mm x 120mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-fluence-22mm-x-120mm-rosa-medio,388,,,,6600.0,9900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX FLUENCE 22mm x 85mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-fluence-22mm-x-85mm-rosa-medio,389,,,,5950.0,8900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX FLUENCE 22mm x 55mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-fluence-22mm-x-55mm-rosa-medio,390,,,,5000.0,7500,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX FLUENCE 25mm x 90mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-fluence-25mm-x-90mm-rosa-medio,391,,,,6600.0,9900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA DEFLEX FLUENCE 25mm x 70mm ROSA MEDIO,cartucho-poliamida-deflex-fluence-25mm-x-70mm-rosa-medio,392,,,,5950.0,8900,,0,1,,1,0,,,21.0
1,,,1,CARTUCHO POLIAMIDA PARA INYECCION DEFLEX FLUENCE 25mm x 50mm ROSA MEDIO,cartucho-poliamida-para-inyeccion-deflex-fluence-25mm-x-50mm-rosa-medio,393,,,,5000.0,7500,,0,1,,1,0,,,21.0
